X-axis,Y-axis
0.000000,0.000000
0.101010,0.126848
0.202020,0.253185
0.303030,0.378502
0.404040,0.502296
0.505051,0.624067
0.606061,0.743325
0.707071,0.859590
0.808081,0.972393
0.909091,1.081282
1.010101,1.185816
1.111111,1.285575
1.212121,1.380158
1.313131,1.469183
1.414141,1.552293
1.515152,1.629152
1.616162,1.699451
1.717172,1.762907
1.818182,1.819264
1.919192,1.868296
2.020202,1.909804
2.121212,1.943623
2.222222,1.969616
2.323232,1.987677
2.424242,1.997735
2.525253,1.999748
2.626263,1.993710
2.727273,1.979643
2.828283,1.957605
2.929293,1.927684
3.030303,1.890002
3.131313,1.844709
3.232323,1.791988
3.333333,1.732051
3.434343,1.665140
3.535354,1.591524
3.636364,1.511499
3.737374,1.425388
3.838384,1.333538
3.939394,1.236318
4.040404,1.134120
4.141414,1.027355
4.242424,0.916453
4.343434,0.801861
4.444444,0.684040
4.545455,0.563465
4.646465,0.440621
4.747475,0.316003
4.848485,0.190112
4.949495,0.063456
5.050505,-0.063456
5.151515,-0.190112
5.252525,-0.316003
5.353535,-0.440621
5.454545,-0.563465
5.555556,-0.684040
5.656566,-0.801861
5.757576,-0.916453
5.858586,-1.027355
5.959596,-1.134120
6.060606,-1.236318
6.161616,-1.333538
6.262626,-1.425388
6.363636,-1.511499
6.464646,-1.591524
6.565657,-1.665140
6.666667,-1.732051
6.767677,-1.791988
6.868687,-1.844709
6.969697,-1.890002
7.070707,-1.927684
7.171717,-1.957605
7.272727,-1.979643
7.373737,-1.993710
7.474747,-1.999748
7.575758,-1.997735
7.676768,-1.987677
7.777778,-1.969616
7.878788,-1.943623
7.979798,-1.909804
8.080808,-1.868296
8.181818,-1.819264
8.282828,-1.762907
8.383838,-1.699451
8.484848,-1.629152
8.585859,-1.552293
8.686869,-1.469183
8.787879,-1.380158
8.888889,-1.285575
8.989899,-1.185816
9.090909,-1.081282
9.191919,-0.972393
9.292929,-0.859590
9.393939,-0.743325
9.494949,-0.624067
9.595960,-0.502296
9.696970,-0.378502
9.797980,-0.253185
9.898990,-0.126848
10.000000,-0.000000
